CMDLINE /opt/miniconda3/envs/jupyter/bin/python test.py
MEM 0.011719 1596199115.5573
MEM 16.554688 1596199115.6583
MEM 28.550781 1596199115.7601
MEM 36.511719 1596199115.8605
MEM 36.718750 1596199115.9618
MEM 36.781250 1596199116.0654
MEM 36.796875 1596199116.1672
MEM 36.812500 1596199116.2720
MEM 36.832031 1596199116.3763
MEM 36.847656 1596199116.4786
MEM 36.863281 1596199116.5791
MEM 36.878906 1596199116.6812
MEM 36.894531 1596199116.7814
MEM 36.910156 1596199116.8830
MEM 36.925781 1596199116.9870
MEM 36.941406 1596199117.0910
MEM 36.957031 1596199117.1924
MEM 36.972656 1596199117.2926
MEM 36.988281 1596199117.3947
MEM 37.003906 1596199117.4963
MEM 37.019531 1596199117.6015
MEM 37.035156 1596199117.7045
MEM 37.050781 1596199117.8096
MEM 37.066406 1596199117.9116
MEM 37.082031 1596199118.0134
MEM 37.101562 1596199118.1151
MEM 37.117188 1596199118.2167
MEM 37.132812 1596199118.3177
MEM 37.148438 1596199118.4220
MEM 37.167969 1596199118.5233
MEM 37.179688 1596199118.6270
MEM 37.195312 1596199118.7271
MEM 37.210938 1596199118.8273
MEM 37.226562 1596199118.9275
MEM 37.242188 1596199119.0294
MEM 37.261719 1596199119.1346
MEM 37.277344 1596199119.2396
MEM 37.296875 1596199119.3443
MEM 37.312500 1596199119.4447
MEM 37.328125 1596199119.5451
MEM 37.347656 1596199119.6485
MEM 37.363281 1596199119.7537
MEM 37.378906 1596199119.8569
MEM 37.394531 1596199119.9604
MEM 37.414062 1596199120.0651
MEM 37.429688 1596199120.1681
MEM 37.445312 1596199120.2697
MEM 37.460938 1596199120.3706
MEM 37.480469 1596199120.4720
MEM 37.496094 1596199120.5739
MEM 37.511719 1596199120.6748
MEM 37.527344 1596199120.7775
MEM 37.542969 1596199120.8796
MEM 37.558594 1596199120.9845
MEM 37.578125 1596199121.0897
MEM 37.593750 1596199121.1927
MEM 37.609375 1596199121.2937
MEM 37.625000 1596199121.3949
MEM 37.644531 1596199121.4964
MEM 37.660156 1596199121.5965
MEM 37.675781 1596199121.6991
MEM 37.691406 1596199121.7997
MEM 37.707031 1596199121.9018
MEM 37.726562 1596199122.0049
MEM 37.742188 1596199122.1100
MEM 37.757812 1596199122.2122
MEM 37.777344 1596199122.3135
MEM 37.792969 1596199122.4138
MEM 37.808594 1596199122.5181
MEM 37.828125 1596199122.6215
MEM 37.843750 1596199122.7231
MEM 37.859375 1596199122.8266
MEM 37.875000 1596199122.9301
MEM 37.890625 1596199123.0324
MEM 37.910156 1596199123.1335
MEM 37.925781 1596199123.2351
MEM 37.941406 1596199123.3401
MEM 37.957031 1596199123.4409
MEM 37.972656 1596199123.5411
MEM 37.992188 1596199123.6454
MEM 38.007812 1596199123.7459
MEM 38.023438 1596199123.8510
MEM 38.039062 1596199123.9562
MEM 38.058594 1596199124.0613
MEM 38.074219 1596199124.1623
MEM 38.089844 1596199124.2673
MEM 38.109375 1596199124.3721
MEM 38.125000 1596199124.4772
MEM 38.144531 1596199124.5791
MEM 38.160156 1596199124.6803
MEM 38.175781 1596199124.7819
MEM 38.191406 1596199124.8828
MEM 38.207031 1596199124.9848
MEM 38.226562 1596199125.0897
MEM 38.242188 1596199125.1923
MEM 38.257812 1596199125.2938
MEM 38.277344 1596199125.3975
MEM 38.292969 1596199125.4978
MEM 38.308594 1596199125.6028
MEM 38.324219 1596199125.7037
MEM 38.343750 1596199125.8058
MEM 38.359375 1596199125.9068
MEM 38.375000 1596199126.0085
MEM 38.390625 1596199126.1098
MEM 38.406250 1596199126.2123
MEM 38.425781 1596199126.3126
MEM 38.441406 1596199126.4132
MEM 38.457031 1596199126.5160
MEM 38.472656 1596199126.6212
MEM 38.492188 1596199126.7232
MEM 38.507812 1596199126.8234
MEM 38.523438 1596199126.9259
MEM 38.539062 1596199127.0289
MEM 38.554688 1596199127.1310
MEM 38.570312 1596199127.2312
MEM 38.589844 1596199127.3362
MEM 38.605469 1596199127.4378
MEM 38.621094 1596199127.5415
MEM 38.640625 1596199127.6427
MEM 38.656250 1596199127.7472
MEM 38.671875 1596199127.8520
MEM 38.687500 1596199127.9551
MEM 38.707031 1596199128.0565
MEM 38.722656 1596199128.1613
MEM 38.738281 1596199128.2657
MEM 38.757812 1596199128.3658
MEM 38.773438 1596199128.4674
MEM 38.789062 1596199128.5685
